0.004302,10.0.1.1,10.0.8.2,7011,8080,5,1462,7,3,2,1,19,15,18,68,0,0,0,0
0.010022,10.0.1.1,10.0.8.2,50000,8080,87,102,7,3,2,1,18,31,37,6079,0,0,0,0
0.016091,10.0.1.1,10.0.8.2,7011,8080,5,1462,7,3,2,1,16,472,1381,20,0,0,0,0
0.021239,10.0.1.1,10.0.8.2,50000,8080,87,102,7,3,2,1,18,1387,833,12,0,0,0,0
0.024287,10.0.1.1,10.0.8.2,7011,8080,5,1462,7,3,2,1,16,1777,19,532,0,0,0,0
0.030284,10.0.1.1,10.0.8.2,50000,8080,87,102,7,3,2,1,44,4523,17,22,0,0,0,0
0.034514,10.0.1.1,10.0.8.2,7011,8080,5,1462,7,3,2,1,25,28,34,4457,0,0,0,0
0.038096,10.0.1.1,10.0.8.2,50000,8080,87,102,7,3,2,1,8,913,1757,390,0,0,0,0
0.040924,10.0.1.1,10.0.8.2,7011,8080,5,1462,7,3,2,1,41,1294,2523,1735,0,0,0,0
0.044884,10.0.1.1,10.0.8.2,50000,8080,87,102,7,3,2,1,9,2111,2615,213,0,0,0,0
0.049607,10.0.1.1,10.0.8.2,7011,8080,5,1462,7,3,2,1,7,2607,2375,1089,0,0,0,0
0.057605,10.0.1.1,10.0.8.2,50000,8080,87,102,7,3,2,1,7,2946,1502,9,0,0,0,0
0.070776,10.0.1.1,10.0.8.2,7011,8080,5,1462,7,3,2,1,8,4038,1201,1475,0,0,0,0
0.076352,10.0.1.1,10.0.8.2,7011,8080,5,1462,7,3,2,1,8,3574,985,8,0,0,0,0
0.081193,10.0.1.1,10.0.8.2,50000,8080,87,102,7,3,2,1,11,4241,9,2077,0,1,0,0
0.086799,10.0.1.1,10.0.8.2,50000,8080,87,102,7,3,2,1,8,4637,823,8,0,1,0,0
0.091798,10.0.1.1,10.0.8.2,7011,8080,5,1462,7,3,2,1,11,4659,7,4292,0,1,0,0
0.095113,10.0.1.1,10.0.8.2,50000,8080,87,102,7,3,2,1,10,5678,1549,1111,0,1,0,0
0.098176,10.0.1.1,10.0.8.2,7011,8080,5,1462,7,3,2,1,319,5154,24,3749,0,1,0,0
